x_local,y_local,state
3.401,0.6732,Normal
4.9924,3.2564,Orbit
7.9673,3.3574,Orbit
9.6196,0.9089,Orbit
8.4309,-1.7745,Orbit
5.5409,-2.1925,Orbit
3.9508,-1.1755,Orbit
6.3,-4.3733,Normal
9.2484,-4.4675,Orbit
10.9229,-6.8937,Orbit
9.7646,-9.5853,Orbit
6.8828,-10.0336,Orbit
4.9763,-7.8394,Orbit
5.0004,-5.8722,Orbit
1.8015,-8.5703,Normal
3.2755,-11.1908,Orbit
1.8776,-13.8182,Orbit
-1.0684,-14.0269,Orbit
-2.7995,-11.6573,Orbit
-1.7185,-8.945,Orbit
0.1738,-8.0931,Orbit
2.8512,-4.1389,Normal
0.4518,-0.4258,Normal
0.0,0.0,Normal
