x_local,y_local,state
-3.7221,-3.0997,Normal
-5.6459,-5.2726,Normal
-4.1427,-7.9195,Orbit
-5.5114,-10.5548,Orbit
-8.4496,-10.7927,Orbit
-10.2021,-8.4444,Orbit
-9.1502,-5.7243,Orbit
-6.6955,-5.0728,Orbit
-3.3285,-8.3386,Normal
-2.497,-9.5696,Normal
0.0192,-8.2129,Orbit
2.6738,-9.5092,Orbit
2.9841,-12.428,Orbit
0.6887,-14.2335,Orbit
-2.0508,-13.254,Orbit
-2.6219,-10.2341,Orbit
0.8019,-8.3205,Normal
1.4017,-8.3205,Normal
5.0004,-8.5703,Normal
5.1392,-5.9688,Orbit
7.4908,-4.2197,Orbit
10.2097,-5.276,Orbit
10.76,-8.1305,Orbit
8.6404,-10.1116,Orbit
6.2,-9.6695,Orbit
4.9505,-6.6716,Normal
5.2004,-5.9721,Normal
6.4999,-2.5745,Normal
3.9669,-0.981,Orbit
3.8622,1.9929,Orbit
6.308,3.6478,Orbit
8.9924,2.4628,Orbit
9.414,-0.4262,Orbit
8.3993,-1.7751,Orbit
9.4489,1.5226,Normal
9.4489,2.1222,Normal
6.3999,6.0094,Normal
3.8196,7.5636,Orbit
3.6444,10.5187,Orbit
6.0387,12.2251,Orbit
8.742,11.1105,Orbit
9.234,8.2404,Orbit
7.6995,6.3192,Orbit
3.9963,3.017,Normal
0.0,0.0,Normal
